created_at,entities
2021-02-10 18:19:24+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_erijayy', 'name': 'EJ', 'id': 177459293, 'id_str': '177459293', 'indices': [0, 9]}], 'urls': []}"
2021-02-10 18:19:38+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_misscarrington', 'name': 'Tasia.🧡', 'id': 49532006, 'id_str': '49532006', 'indices': [0, 16]}], 'urls': []}"
2021-02-10 18:19:51+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ColonizedLocal', 'name': 'tea: dead as..(___/____)', 'id': 87318841, 'id_str': '87318841', 'indices': [0, 15]}], 'urls': []}"
2021-02-10 18:20:26+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'asscheeksonme', 'name': 'sagittarius bae 🦋', 'id': 367225567, 'id_str': '367225567', 'indices': [0, 14]}], 'urls': []}"
2021-02-10 18:20:47+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'count_qua', 'name': 'Count', 'id': 2566524070, 'id_str': '2566524070', 'indices': [0, 10]}], 'urls': []}"
2021-02-10 18:21:02+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_Aaria_', 'name': 'ADLilSister', 'id': 205501090, 'id_str': '205501090', 'indices': [0, 8]}], 'urls': []}"
2021-02-10 18:21:17+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Netbankz', 'name': 'Nurse Toni J👩🏽\u200d⚕️✨', 'id': 262716629, 'id_str': '262716629', 'indices': [0, 9]}], 'urls': []}"
2021-02-10 18:21:36+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HardCayndii10', 'name': 'HardCayndii10 🍭✨🍬', 'id': 1105735452294828032, 'id_str': '1105735452294828032', 'indices': [0, 14]}], 'urls': []}"
2021-02-10 18:22:00+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'hada9o', 'name': 'naturalselextions', 'id': 385778577, 'id_str': '385778577', 'indices': [0, 7]}], 'urls': [], 'media': [{'id': 1359568277022732290, 'id_str': '1359568277022732290', 'indices': [8, 31], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Et4oJQfUcAIR6Gq.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Et4oJQfUcAIR6Gq.jpg', 'url': 'https://t.co/TlS5HQpfpK', 'display_url': 'pic.twitter.com/TlS5HQpfpK', 'expanded_url': 'https://twitter.com/hulu/status/1359568314276536327/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 402, 'h': 484, 'resize': 'fit'}, 'medium': {'w': 402, 'h': 484, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 402, 'h': 484, 'resize': 'fit'}}}]}"
2021-02-10 18:22:18+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TweetsaboutNthn', 'name': 'Jay', 'id': 101040679, 'id_str': '101040679', 'indices': [0, 16]}], 'urls': []}"
2021-02-10 18:22:56+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_ItsCourtneyyyy', 'name': 'CL. ✨', 'id': 263345020, 'id_str': '263345020', 'indices': [0, 16]}], 'urls': []}"
2021-02-10 18:23:29+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'penelopedaDON', 'name': 'BIG CEO 💳', 'id': 359740750, 'id_str': '359740750', 'indices': [0, 14]}], 'urls': []}"
2021-02-10 18:23:42+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'trxiave', 'name': 'Big B.💎', 'id': 1074405555240865792, 'id_str': '1074405555240865792', 'indices': [0, 8]}], 'urls': []}"
2021-02-10 18:23:56+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thebestofkay_', 'name': 'im the best 🤪', 'id': 54066429, 'id_str': '54066429', 'indices': [0, 14]}], 'urls': []}"
2021-02-10 18:24:09+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_LoveDirtyDiana', 'name': 'B.Nichole 🥀', 'id': 535759304, 'id_str': '535759304', 'indices': [0, 16]}], 'urls': []}"
2021-02-10 18:24:47+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Tete_TheBaddest', 'name': 'tee👸🏾', 'id': 827332766366834692, 'id_str': '827332766366834692', 'indices': [0, 16]}], 'urls': []}"
2021-02-10 18:25:08+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ssister97', 'name': 'Tay Bae', 'id': 361554623, 'id_str': '361554623', 'indices': [0, 10]}], 'urls': []}"
2021-02-10 18:25:21+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'badgaaalre', 'name': '𝓨.', 'id': 722820722867851264, 'id_str': '722820722867851264', 'indices': [0, 11]}], 'urls': []}"
2021-02-10 18:25:35+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Parisjoy_', 'name': 'ParisHilton', 'id': 762098726416502784, 'id_str': '762098726416502784', 'indices': [0, 10]}], 'urls': []}"
2021-02-10 18:25:45+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AlexxBarness', 'name': '𝓐𝓑✨', 'id': 334934118, 'id_str': '334934118', 'indices': [0, 13]}], 'urls': []}"
2021-02-10 18:26:00+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'myeugh', 'name': 'Maia Monet', 'id': 844262649311477760, 'id_str': '844262649311477760', 'indices': [0, 7]}], 'urls': []}"
2021-02-10 18:26:12+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'zeldhuh', 'name': 'Captain Levi', 'id': 586165434, 'id_str': '586165434', 'indices': [0, 8]}], 'urls': []}"
2021-02-10 18:26:34+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'alwayssunny', 'name': ""It's Always Sunny"", 'id': 394953878, 'id_str': '394953878', 'indices': [0, 12]}], 'urls': []}"
2021-02-10 18:26:49+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ra9va', 'name': 'Raava (Lem)', 'id': 1301377804517257216, 'id_str': '1301377804517257216', 'indices': [0, 6]}], 'urls': []}"
2021-02-10 18:27:06+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Moonlight1012', 'name': 'Denise', 'id': 171014657, 'id_str': '171014657', 'indices': [0, 14]}], 'urls': []}"
2021-02-10 18:27:29+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'atzvante', 'name': '🌟', 'id': 1222726914768621570, 'id_str': '1222726914768621570', 'indices': [0, 9]}], 'urls': [], 'media': [{'id': 1359569666759221257, 'id_str': '1359569666759221257', 'indices': [10, 33], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Et4paJqUYAkyss-.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Et4paJqUYAkyss-.jpg', 'url': 'https://t.co/0Ku50vF5IT', 'display_url': 'pic.twitter.com/0Ku50vF5IT', 'expanded_url': 'https://twitter.com/hulu/status/1359569693015609347/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 436, 'h': 246, 'resize': 'fit'}, 'small': {'w': 436, 'h': 246, 'resize': 'fit'}, 'medium': {'w': 436, 'h': 246, 'resize': 'fit'}}}]}"
2021-02-10 18:27:50+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheGreatHulu', 'name': 'The Great', 'id': 1164210886782750725, 'id_str': '1164210886782750725', 'indices': [0, 13]}], 'urls': [], 'media': [{'id': 1359569766940172290, 'id_str': '1359569766940172290', 'indices': [14, 37], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Et4pf-3UYAIX8lz.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Et4pf-3UYAIX8lz.jpg', 'url': 'https://t.co/ZX0ihqNPHC', 'display_url': 'pic.twitter.com/ZX0ihqNPHC', 'expanded_url': 'https://twitter.com/hulu/status/1359569781477625856/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 480, 'h': 270, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 480, 'h': 270, 'resize': 'fit'}, 'large': {'w': 480, 'h': 270, 'resize': 'fit'}}}]}"
2021-02-10 18:30:16+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/kDYGtkQKb4', 'expanded_url': 'https://twitter.com/i/web/status/1359570394164912128', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-10 18:50:56+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheGreatHulu', 'name': 'The Great', 'id': 1164210886782750725, 'id_str': '1164210886782750725', 'indices': [0, 13]}], 'urls': []}"
2021-02-10 19:05:55+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'robbingurTL', 'name': 'jhené aiko’s btch', 'id': 1178214900960813056, 'id_str': '1178214900960813056', 'indices': [0, 12]}], 'urls': []}"
2021-02-10 19:06:15+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'chiezugokene', 'name': 'satchet youtuber', 'id': 740188163952529408, 'id_str': '740188163952529408', 'indices': [0, 13]}], 'urls': []}"
2021-02-10 19:06:45+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gahbeetee', 'name': 'gabriela', 'id': 826362476, 'id_str': '826362476', 'indices': [0, 10]}], 'urls': [], 'media': [{'id': 1359579538435448834, 'id_str': '1359579538435448834', 'indices': [11, 34], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Et4yYwhVoAIO9u3.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Et4yYwhVoAIO9u3.jpg', 'url': 'https://t.co/a8YW4NVm5u', 'display_url': 'pic.twitter.com/a8YW4NVm5u', 'expanded_url': 'https://twitter.com/hulu/status/1359579574766432256/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 480, 'h': 228, 'resize': 'fit'}, 'medium': {'w': 480, 'h': 228, 'resize': 'fit'}, 'small': {'w': 480, 'h': 228, 'resize': 'fit'}}}]}"
2021-02-10 19:07:08+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'chickaquita', 'name': '🎈🍊⭐️\U0001fa80🦋💜', 'id': 1316593548762976256, 'id_str': '1316593548762976256', 'indices': [0, 12]}], 'urls': [], 'media': [{'id': 1359579661475323909, 'id_str': '1359579661475323909', 'indices': [13, 36], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Et4yf64VIAUhGXE.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Et4yf64VIAUhGXE.jpg', 'url': 'https://t.co/kui2TVgm4p', 'display_url': 'pic.twitter.com/kui2TVgm4p', 'expanded_url': 'https://twitter.com/hulu/status/1359579674519609344/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 250, 'h': 140, 'resize': 'fit'}, 'thumb': {'w': 140, 'h': 140, 'resize': 'crop'}, 'small': {'w': 250, 'h': 140, 'resize': 'fit'}, 'medium': {'w': 250, 'h': 140, 'resize': 'fit'}}}]}"
